model,NaCl_Percent,Rep,RAW_Temp,M_Temp,EC
model04,1.3,16,50.0,3839.0,609.0
model02,0.3,4,24.0,2352.0,193.0
model03,0.7,25,64.1,5974.0,445.0
model03,1.6,31,70.1,4670.0,657.0
model02,1.8,20,51.0,4853.0,707.0
model01,0.5,18,48.1,4742.0,335.0
model02,1.3,5,24.7,2521.0,425.0
model03,1.2,2,23.6,2352.0,399.0
model03,0.4,7,34.3,3218.0,251.0
model01,0.0,1,23.5,2362.0,62.0
model04,0.9,5,25.5,2504.0,358.0
model01,0.3,13,47.5,4268.0,259.0
model04,0.8,11,42.9,3610.0,402.0
model04,0.0,21,63.4,5186.0,60.0
model01,0.4,10,34.4,3276.0,259.0
model02,0.5,7,31.9,3043.0,276.0
model02,0.5,10,32.0,3130.0,227.0
model02,1.0,14,43.6,4248.0,460.0
model03,0.5,4,25.0,2425.0,257.0
model01,1.1,16,52.9,4385.0,534.0
model04,2.0,17,51.6,4565.0,794.0
model03,0.1,29,73.0,6822.0,179.0
model04,0.5,10,32.1,3081.0,281.0
model02,1.9,14,40.8,3883.0,650.0
model04,0.8,16,53.8,4486.0,448.0
model04,0.3,9,33.5,3224.0,221.0
model04,0.7,19,51.5,4845.0,404.0
model03,0.1,31,85.4,6097.0,190.0
model03,1.8,14,42.0,3984.0,639.0
model04,0.4,23,63.5,5756.0,341.0
model03,0.8,25,63.5,5916.0,479.0
model01,2.0,4,24.6,2381.0,545.0
model03,1.0,6,34.0,2888.0,397.0
model04,1.6,5,25.4,2521.0,499.0
model04,1.4,13,41.5,3889.0,589.0
model04,1.8,20,50.9,4786.0,747.0
model01,0.4,19,53.2,4742.0,305.0
model03,0.0,31,83.7,7599.0,67.0
model03,2.0,10,31.1,2959.0,587.0
model02,1.3,30,70.0,5408.0,750.0
model02,0.3,17,55.8,5125.0,268.0
model03,0.5,21,64.1,4902.0,369.0
model01,0.5,7,31.5,3027.0,283.0
model02,1.8,22,61.6,5751.0,801.0
model01,1.0,9,32.8,3187.0,420.0
model04,0.1,13,42.5,3960.0,138.0
model01,0.0,5,24.8,2478.0,48.0
model02,0.5,23,64.0,6037.0,364.0
model04,1.3,21,63.7,5456.0,701.0
model04,1.4,32,89.8,7200.0,957.0
model03,1.6,23,64.5,5953.0,784.0
model04,1.9,29,70.8,6594.0,938.0
model04,0.2,6,32.0,3030.0,174.0
model01,0.5,32,87.6,7749.0,482.0
model01,0.1,2,23.3,2283.0,117.0
model02,0.9,15,42.0,3978.0,419.0
model01,0.6,25,65.5,6157.0,431.0
model03,0.4,21,63.3,5166.0,336.0
model02,1.3,10,29.6,3055.0,479.0
model04,0.3,15,46.6,4342.0,249.0
model03,1.1,16,52.1,4486.0,522.0
model02,1.6,35,72.5,5474.0,723.0
model01,1.8,9,33.8,2933.0,590.0
model04,1.1,16,51.7,4439.0,543.0
model01,2.0,6,30.7,2916.0,601.0
model02,0.3,9,33.5,3276.0,216.0
model02,1.4,6,31.5,2946.0,509.0
model04,1.4,20,50.1,4631.0,646.0
model04,1.2,29,72.6,6130.0,701.0
model03,1.4,11,41.4,3521.0,544.0
model01,1.8,30,73.0,6794.0,909.0
model04,0.9,15,41.8,3948.0,428.0
model03,1.9,24,59.0,5529.0,778.0
model04,1.6,19,52.2,4887.0,718.0
model02,1.3,1,24.7,2638.0,438.0
model01,1.6,16,50.5,4489.0,708.0
model03,0.1,14,42.9,3856.0,138.0
model03,1.5,1,25.5,2543.0,449.0
model02,2.0,13,40.4,3795.0,648.0
model02,1.0,1,24.8,2514.0,376.0
model01,1.9,34,81.6,7617.0,990.0
model01,1.8,28,73.1,6774.0,919.0
model01,1.9,27,71.5,6401.0,924.0
model04,1.0,12,43.6,4027.0,471.0
model01,1.5,35,93.6,7608.0,1086.0
model02,1.6,17,52.3,4402.0,704.0
model04,0.4,28,76.1,6733.0,369.0
model02,2.0,14,40.4,3856.0,647.0
model04,1.3,31,82.6,4921.0,870.0
model03,0.0,14,41.9,3996.0,53.0
model02,0.8,10,31.9,3107.0,355.0
model02,0.6,15,41.7,4030.0,335.0
model03,0.6,30,72.6,6850.0,447.0
model01,1.0,11,42.5,3610.0,467.0
