model,NaCl_Percent,Rep,RAW_Temp,M_Temp,EC
model03,0.7,16,52.0,4057.0,400.0
model03,0.5,10,32.2,3096.0,273.0
model03,1.6,3,25.4,2538.0,489.0
model03,0.5,14,42.4,4033.0,305.0
model03,0.0,3,25.3,2509.0,49.0
model03,0.2,19,56.9,5191.0,221.0
model03,1.8,10,33.8,3274.0,570.0
model03,0.3,28,74.0,6740.0,312.0
model03,1.7,22,62.0,5800.0,762.0
model03,0.6,2,26.1,2512.0,285.0
model03,0.1,1,23.2,2305.0,112.0
model03,1.3,15,41.0,3836.0,532.0
model03,1.0,25,61.6,5770.0,555.0
model03,1.1,34,79.1,7115.0,701.0
model03,1.1,7,31.4,2994.0,403.0
model03,1.7,3,26.6,2638.0,509.0
model03,0.7,1,24.2,2273.0,302.0
model03,1.0,26,72.6,5364.0,615.0
model03,1.5,22,59.6,5191.0,735.0
model03,1.8,17,50.8,4558.0,707.0
model03,0.8,32,86.7,6633.0,629.0
model03,1.7,7,34.0,3135.0,546.0
model03,1.2,5,23.6,2348.0,401.0
model03,1.6,11,41.0,3519.0,598.0
model03,1.0,33,88.2,8009.0,708.0
model03,0.8,8,31.9,3027.0,353.0
model03,0.8,2,23.3,2257.0,320.0
model03,0.3,32,83.1,7466.0,333.0
model03,1.3,12,41.0,3827.0,523.0
model03,0.3,20,56.3,5145.0,273.0
model03,0.0,25,63.2,5979.0,61.0
model03,0.7,22,64.5,5815.0,445.0
model03,0.0,27,74.5,6801.0,64.0
model03,1.0,27,72.4,6468.0,616.0
model03,0.2,10,31.9,3086.0,170.0
model03,1.2,18,53.1,4649.0,550.0
model03,1.6,18,52.3,4955.0,696.0
model03,0.8,24,63.7,5937.0,479.0
model03,1.1,14,42.9,3993.0,481.0
model03,0.5,27,74.0,6640.0,411.0
model03,1.2,21,63.7,4586.0,619.0
model03,1.1,22,61.9,5443.0,580.0
model03,1.3,25,63.5,5795.0,682.0
model03,1.3,17,49.9,4389.0,585.0
model03,0.0,1,25.3,2516.0,66.0
model03,1.6,10,32.1,3117.0,543.0
model03,0.3,12,47.5,4287.0,249.0
model03,1.2,14,43.9,3836.0,499.0
model03,1.8,33,83.0,7758.0,961.0
model03,0.1,7,32.3,3099.0,124.0
model03,1.3,32,82.4,6152.0,813.0
model03,1.0,14,43.6,4116.0,458.0
model03,1.0,19,51.0,4864.0,522.0
model03,1.5,16,50.5,3833.0,660.0
model03,0.4,30,76.6,7099.0,356.0
model03,0.8,19,53.7,5065.0,436.0
model03,0.2,20,56.7,5257.0,223.0
